Store,Model,MAE,MSE,RMSE
1,SARIMA,30762.57142115588,1466764701.464812,38298.36421395582
1,Holt-Winters,40363.299558293074,2250801761.2198715,47442.615455093444
1,ARIMA,62850.13043546587,5542141167.143615,74445.5584111209
2,SARIMA,51289.08797600889,3931020051.633269,62697.847264744814
2,Holt-Winters,52362.84284537365,3974572206.4908233,63044.20835010004
2,ARIMA,75652.9074046421,8047392366.675042,89707.2592752395
3,SARIMA,14915.05437752134,325818126.906602,18050.432873108668
3,Holt-Winters,8520.827276637365,123094291.55276765,11094.786683517968
3,ARIMA,11918.45949214047,252040169.23936582,15875.77302808798
4,SARIMA,92719.98506590712,12379084650.413134,111261.33493003368
4,Holt-Winters,40576.542116000455,2575151048.8323636,50745.946132005105
4,ARIMA,52746.28362656276,4947387581.503232,70337.66829731586
5,SARIMA,8907.51496876086,124962197.65706412,11178.649187494173
5,Holt-Winters,10015.565859022516,116604399.54214633,10798.351704873588
5,ARIMA,12798.439661438262,262525332.32248628,16202.633499603893
6,SARIMA,27622.839302955777,1106365305.3471472,33262.07007008354
6,Holt-Winters,56955.75237559562,5151681374.660694,71775.21420839295
6,ARIMA,102131.15103796053,14532559556.885887,120551.06617896786
7,SARIMA,48547.771333003744,2737127595.858483,52317.56488846249
7,Holt-Winters,12243.203285751195,222159545.47357488,14905.017459687018
7,ARIMA,41946.76751572363,2454565127.717562,49543.567975243386
8,SARIMA,29678.566712494194,1240427752.3470402,35219.70687480292
8,Holt-Winters,32469.99265433194,1513078788.5577633,38898.31344104476
8,ARIMA,32999.301800326444,1434059616.252848,37868.97960406179
9,SARIMA,17913.970022000864,546962948.7711035,23387.239015563668
9,Holt-Winters,27138.04453165358,1057458427.2490753,32518.585874067085
9,ARIMA,20501.416239397982,700713300.8065909,26470.989796503472
10,SARIMA,72150.53220414155,7836149681.152078,88522.02935513892
10,Holt-Winters,44149.911039506784,3823139059.642975,61831.53774282971
10,ARIMA,181067.9684765383,37938266765.52216,194777.4801293059
11,SARIMA,56050.31002231557,5748497591.480903,75818.84720490614
11,Holt-Winters,43414.50213275524,2546220727.79112,50460.09044572869
11,ARIMA,73663.35803193884,7210892456.505783,84916.9739010157
12,SARIMA,37315.18444610292,1671499834.7796915,40883.980172919706
12,Holt-Winters,21562.274022024172,727639762.6227931,26974.798657687756
12,ARIMA,59948.738215678044,5053966879.663039,71091.25740668144
13,SARIMA,58353.36633237271,6633463928.022602,81446.07988124783
13,Holt-Winters,56034.27435540004,7754584286.842399,88060.11745871339
13,ARIMA,63331.77463283952,5591548979.090817,74776.66065752614
14,SARIMA,114531.96956380304,15622005663.003975,124988.02207813345
14,Holt-Winters,65674.47147659924,6457796211.087639,80360.41445318484
14,ARIMA,305883.25144238316,108007633454.8279,328645.1482295576
15,SARIMA,16950.59995775892,429348228.1742861,20720.719779348547
15,Holt-Winters,13235.233496353545,232525957.47455594,15248.801837343022
15,ARIMA,57662.059962141306,4119956282.3417873,64186.88559465857
16,SARIMA,25446.26746692344,876518031.7970954,29606.047216693678
16,Holt-Winters,13431.617325610268,317778065.05205315,17826.330667079335
16,ARIMA,27729.203168494463,1127458276.6517124,33577.64548999397
17,SARIMA,26406.155025109427,969601743.8354155,31138.428730997577
17,Holt-Winters,37267.56975024379,2027823389.0949037,45031.36006268192
17,ARIMA,87187.86640866451,16530944714.178215,128572.72150101753
18,SARIMA,99803.96581894414,25792589418.479416,160600.7142527063
18,Holt-Winters,59578.253793557415,5221398449.353412,72259.2447327912
18,ARIMA,57361.46367844026,5001217260.327537,70719.28492517113
19,SARIMA,38305.54743007111,1918541066.6370385,43801.153713538624
19,Holt-Winters,31447.280810214987,1351737913.2733138,36765.9885393187
19,ARIMA,87293.57531389395,8573841229.933635,92595.03890562191
20,SARIMA,70324.85951412655,6587732233.561833,81164.84604532823
20,Holt-Winters,50209.607173481374,5566564831.714667,74609.41516802466
